consonant	example	bilabial	labiodental	alveolar	postalveolar	palatal	velar	uvular	glottal	plosive	nasal	fricative	approximant	lateral	voiceless	voiced	close	close-mid	open-mid	open	front	central	back	unrounded	rounded
p	put	1								1					1										
b	bad	1								1						1									
t	tak			1						1					1										
d	dak			1						1						1									
k	kat						1			1					1										
g	goal						1			1						1									
N	lang						1				1					1									
m	mat	1									1					1									
n	nat			1							1					1									
l	lat			1										1		1									
r	rat							1				1				1									
f	fiets		1									1			1										
v	vat		1									1				1									
s	sap			1								1			1										
z	zat			1								1				1									
S	sjaal				1							1			1										
Z	ravage				1							1				1									
j	jas					1							1			1									
x	licht						1					1			1										
G	regen						1					1				1									
h	had								1			1			1										
w	wat		1										1			1									
_	jazz			1	1					1		1				1									
i	liep															1	1				1			1	
y	buut															1	1				1				1
e	leeg															1		1			1			1	
|	deuk															1		1			1				1
a	laat															1				1	1			1	
o	boom															1		1					1		1
u	boek															1	1						1		1
I	lip															1	1				1			1	
E	leg															1			1		1			1	
A	lat															1				1			1	1	
O	bom															1			1				1		1
}	put															1	1					1			1
@	gelijk															1						1		1	
!	analyse															1	1				1			1	
(	centrifuge															1	1				1				1
)	scene															1			1		1			1	
*	freule															1			1		1				1
<	zone															1				1			1		1
K	wijs															1	1		1		1			1	
L	huis															1	1		1		1				1
M	koud															1	1			1			1		1
