consonant	example	bilabial	labiodental	alveolar	postalveolar	palatal	velar	uvular	glottal	plosive	nasal	fricative	approximant	lateral	voiceless	voiced	close	close-mid	open-mid	open	front	central	back	unrounded	rounded
p	Pakt	1								1					1										
b	Bad	1								1						1									
t	Tag			1						1					1										
d	dann			1						1						1									
k	kalt						1			1					1										
g	Gast						1			1						1									
N	Klang						1				1					1									
m	Maß	1									1					1									
n	Naht			1							1					1									
l	Last			1										1		1									
r	Ratte							1				1				1									
f	falsch		1									1			1										
v	Welt		1									1				1									
s	Glas			1								1			1										
z	Suppe			1								1				1									
S	Schiff				1							1			1										
Z	Genie				1							1				1									
j	Jacke					1							1			1									
x	Bach/ich						1					1			1										
h	Hand								1			1			1										
w	waterproof															1									
+	Pferd	1	1							1		1			1										
=	Zahl			1						1		1			1										
J	Matsch			1	1					1		1			1										
_	Gin			1	1					1		1				1									
i	Lied															1	1				1			1	
#	Advantage															1				1			1	1	
a	klar															1				1	1			1	
$	Allroundman															1			1				1		1
u	Hut															1	1						1		1
3	Teamwork															1			1			1		1	
y	für															1	1				1				1
)	Käse															1			1		1			1	
e	mehl															1		1			1			1	
|	Möbel															1		1			1				1
o	boot															1		1					1		1
1	Native															1	1	1			1			1	
2	Shylock															1	1			1	1			1	
4	Playboy															1	1		1		1		1	1	1
6	Allroundsportler															1	1			1	1		1	1	1
W	weit															1	1			1	1			1	
B	Haut															1	1			1	1		1	1	1
X	freut															1	1		1		1		1		1
I	Mitte															1	1				1			1	
Y	Pfütze															1	1				1				1
E	Bett															1			1		1			1	
/	Götter															1			1		1				1
{	Ragtime															1			1		1			1	
&	hat															1				1	1			1	
A	Kalevala															1				1			1	1	
V	Plumpudding															1			1				1	1	
O	Glocke															1			1				1		1
U	Pult															1	1						1		1
@	Beginn															1						1		1	
^	Parfum															1			1		1				1
c	impromptu															1			1		1			1	
q	Detente															1				1			1	1	
0	Bassin															1			1		1			1	
~	Affront															1			1			1		1	
